357,だいず　豆腐・油揚げ類　木綿豆腐　凝固剤：塩化マグネシウム,7,4.9,1.5
358,だいず　豆腐・油揚げ類　木綿豆腐　凝固剤：硫酸カルシウム,7,4.9,1.5
359,だいず　豆腐・油揚げ類　絹ごし豆腐,5.3,3.5,2
360,だいず　豆腐・油揚げ類　絹ごし豆腐　凝固剤：塩化マグネシウム,5.3,3.5,2
361,だいず　豆腐・油揚げ類　絹ごし豆腐　凝固剤：硫酸カルシウム,5.3,3.5,2
362,だいず　豆腐・油揚げ類　ソフト豆腐,5.1,3.3,2
363,だいず　豆腐・油揚げ類　充てん豆腐,5,3.1,2.5
364,だいず　豆腐・油揚げ類　沖縄豆腐,9.1,7.2,0.7
365,だいず　豆腐・油揚げ類　ゆし豆腐,4.3,2.8,1.7
366,だいず　豆腐・油揚げ類　焼き豆腐,7.8,5.7,1
367,だいず　豆腐・油揚げ類　生揚げ,10.7,11.3,0.9
368,だいず　豆腐・油揚げ類　油揚げ　生,23.4,34.4,0.4
369,だいず　豆腐・油揚げ類　油揚げ　油抜き　生,18.2,23.4,0
370,だいず　豆腐・油揚げ類　油揚げ　油抜き　ゆで,12.4,13.8,0.3
371,だいず　豆腐・油揚げ類　油揚げ　油抜き　焼き,24.9,32.2,0.7
372,だいず　豆腐・油揚げ類　油揚げ　甘煮,11.2,13,19.1
373,だいず　豆腐・油揚げ類　がんもどき,15.3,17.8,1.6
374,だいず　豆腐・油揚げ類　凍り豆腐　乾,50.5,34.1,4.2
375,だいず　豆腐・油揚げ類　凍り豆腐　水煮,10.7,7.3,1.1
376,だいず　豆腐・油揚げ類　豆腐よう,9.5,8.3,19.1
377,だいず　豆腐・油揚げ類　豆腐竹輪　蒸し,14.9,4.4,6.7
378,だいず　豆腐・油揚げ類　豆腐竹輪　焼き,16.1,4.9,7.5
379,だいず　豆腐・油揚げ類　ろくじょう豆腐,34.7,21.5,3.8
380,だいず　納豆類　糸引き納豆,16.5,10,12.1
381,だいず　納豆類　挽きわり納豆,16.6,10,10.5
